"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.22777491877761e-11,1.08834048964331,0.207,0.116,4.16059243830906e-07,"2","Acox3"
2.28147558546383e-11,1.42559670353337,0.1,0.038,4.26088380341225e-07,"2","Slamf9"
2.43728423256891e-11,0.349996344112119,0.841,0.78,4.55187203274569e-07,"2","Slc25a5"
2.54678155840772e-11,0.794399735570787,0.265,0.16,4.75636923848225e-07,"2","Dhrs3"
2.62182686020519e-11,1.30293918748905,0.109,0.044,4.89652384411922e-07,"2","Arhgap30"
2.81006708947965e-11,1.26136220049233,0.132,0.059,5.2480812963122e-07,"2","Ppp1r14b"
3.08310535662265e-11,0.959836592547354,0.253,0.156,5.75800756402846e-07,"2","Ssh2"
3.34946336838935e-11,1.64569446354861,0.104,0.041,6.25545778680396e-07,"2","Fam171b"
4.23012480580097e-11,1.3493995627077,0.203,0.117,7.90018108731389e-07,"2","Bcan"
4.52404549774198e-11,1.57600755985821,0.146,0.07,8.44910737158291e-07,"2","Fabp5"
4.84093999306211e-11,1.38136344615683,0.12,0.052,9.0409395310428e-07,"2","Prkca"
4.84462186829669e-11,1.18476084242007,0.137,0.063,9.0478158012309e-07,"2","Fbrsl1"
5.53155163562205e-11,0.860781876523132,0.288,0.185,1.03307258346877e-06,"2","Arhgap5"
6.99491355584848e-11,0.774960377621356,0.318,0.21,1.30637005569026e-06,"2","Bmyc"
7.26971959527657e-11,1.38806457478374,0.107,0.044,1.35769283161385e-06,"2","Dtna"
7.45870606568126e-11,1.39494253452857,0.123,0.055,1.39298794482663e-06,"2","Tns3"
7.45996941997421e-11,1.55218495031744,0.103,0.041,1.39322388887438e-06,"2","Tmem47"
8.00557155691945e-11,0.698373852139456,0.444,0.337,1.49512054397028e-06,"2","Hist1h2bc"
8.03978042430756e-11,1.29553054069184,0.117,0.05,1.50150939204368e-06,"2","Npl"
8.74053815781219e-11,0.690335261915662,0.397,0.288,1.632382906353e-06,"2","Cmtm6"
9.66378830771043e-11,1.47186839895786,0.117,0.051,1.804809104348e-06,"2","Dok1"
9.86902912919669e-11,1.00382676669902,0.201,0.115,1.84313988016877e-06,"2","Skap2"
1.00196880884608e-10,1.36977680750145,0.105,0.043,1.87127694740094e-06,"2","Snx20"
1.00757066417893e-10,0.950736787929552,0.252,0.157,1.88173897242056e-06,"2","Ifngr2"
1.07594254420968e-10,1.12040831711001,0.164,0.085,2.009430295566e-06,"2","Hps4"
1.15069397407248e-10,1.01452265223776,0.362,0.266,2.14903606597776e-06,"2","Atp1a2"
1.3369046329149e-10,1.18699659146104,0.129,0.059,2.49680309243187e-06,"2","Lcp2"
1.34367435863482e-10,1.08657137108862,0.131,0.06,2.50944623218639e-06,"2","Rassf2"
1.44160948653907e-10,1.42920822716147,0.103,0.042,2.69234987706036e-06,"2","Gmip"
1.50986102156319e-10,1.12618168139653,0.157,0.08,2.81981644387142e-06,"2","Fez1"
1.55756581923459e-10,0.457478228388133,0.578,0.463,2.90890992400253e-06,"2","Tecr"
1.61543515884326e-10,0.522909566217417,0.525,0.421,3.01698670265567e-06,"2","Prdx5"
1.66115837696111e-10,1.18659835045881,0.112,0.048,3.10237938481256e-06,"2","Chd9"
2.09459899949914e-10,1.27472787774196,0.171,0.091,3.9118730914646e-06,"2","Pmm1"
